3/11/2021 4:38:58 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
188.583   -174.505
188.593   -174.374
188.602   -174.213
188.612   -174.057
188.622   -173.966
188.631   -173.841
188.641   -173.662
188.651   -173.462
188.661   -173.369
188.670   -173.239
188.680   -172.984
188.690   -173.017
188.700   -172.822
188.709   -172.744
188.719   -172.491
188.729   -172.420
188.738   -172.370
188.748   -172.189
188.758   -172.028
188.768   -171.980
188.777   -171.885
188.787   -171.833
188.797   -171.793
188.806   -171.601
188.816   -171.536
188.826   -171.351
188.836   -171.234
188.845   -171.194
188.855   -171.039
188.865   -170.931
188.875   -170.917
188.884   -170.790
188.894   -170.799
188.904   -170.679
188.913   -170.556
188.923   -170.376
188.933   -170.260
188.943   -170.372
188.952   -170.315
188.962   -170.198
188.972   -170.033
188.981   -170.034
188.991   -169.862
189.001   -169.700
189.011   -169.532
189.020   -169.723
189.030   -169.637
189.040   -169.582
189.050   -169.460
189.059   -169.256
189.069   -169.360
189.079   -169.298
189.088   -169.396
189.098   -168.994
189.108   -169.029
189.118   -168.831
189.127   -169.028
189.137   -168.742
189.147   -168.572
189.157   -168.732
189.166   -168.565
189.176   -168.652
189.186   -168.596
189.195   -168.495
189.205   -168.342
189.215   -168.281
189.225   -168.208
189.234   -168.190
189.244   -168.134
189.254   -167.978
189.263   -168.108
189.273   -168.058
189.283   -167.878
189.293   -167.824
189.302   -167.959
189.312   -167.869
189.322   -167.555
189.332   -167.624
189.341   -167.561
189.351   -167.424
189.361   -167.357
189.370   -167.526
189.380   -167.303
189.390   -167.286
189.400   -167.219
189.409   -167.124
189.419   -166.966
189.429   -167.002
189.438   -166.980
189.448   -167.017
189.458   -167.043
189.468   -166.692
189.477   -166.700
189.487   -166.653
189.497   -166.623
189.507   -166.758
189.516   -166.593
189.526   -166.311
189.536   -166.381
189.545   -166.267
189.555   -166.157
189.565   -166.392
189.575   -166.140
189.584   -166.208
189.594   -166.053
189.604   -166.048
189.614   -166.168
189.623   -165.934
189.633   -165.856
189.643   -165.896
189.652   -165.987
189.662   -165.680
189.672   -165.571
189.682   -165.527
189.691   -165.426
189.701   -165.498
189.711   -165.676
189.720   -165.523
189.730   -165.545
189.740   -165.319
189.750   -165.252
189.759   -165.345
189.769   -165.170
189.779   -164.938
189.789   -165.247
189.798   -165.367
189.808   -164.866
189.818   -164.736
189.827   -164.983
189.837   -164.654
189.847   -164.924
189.857   -164.789
189.866   -164.708
189.876   -164.744
189.886   -164.709
189.895   -164.468
189.905   -164.505
189.915   -164.580
189.925   -164.411
189.934   -164.481
189.944   -164.356
189.954   -164.335
189.964   -164.164
189.973   -164.155
189.983   -164.371
189.993   -164.122
190.002   -164.241
190.012   -164.008
190.022   -163.741
190.032   -163.940
190.041   -164.207
190.051   -163.667
190.061   -163.837
190.071   -163.879
190.080   -163.562
190.090   -163.722
190.100   -163.553
190.109   -163.476
190.119   -163.699
190.129   -163.441
190.139   -163.511
190.148   -163.473
190.158   -163.639
190.168   -163.413
190.177   -163.272
190.187   -163.440
190.197   -163.078
190.207   -163.204
190.216   -163.108
190.226   -162.929
190.236   -163.053
190.246   -162.980
190.255   -162.631
190.265   -162.903
190.275   -162.735
190.284   -162.550
190.294   -162.602
190.304   -162.628
190.314   -162.263
190.323   -162.753
190.333   -162.766
190.343   -162.551
190.352   -162.575
190.362   -162.451
190.372   -162.730
