3/12/2021 4:57:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
189.174   -123.999
189.184   -123.869
189.194   -123.609
189.204   -123.503
189.213   -123.318
189.223   -123.233
189.233   -123.100
189.242   -122.876
189.252   -122.731
189.262   -122.773
189.272   -122.476
189.281   -122.424
189.291   -122.254
189.301   -122.199
189.311   -121.904
189.320   -121.768
189.330   -121.635
189.340   -121.443
189.349   -121.361
189.359   -121.155
189.369   -121.123
189.379   -121.037
189.388   -120.791
189.398   -120.697
189.408   -120.574
189.418   -120.384
189.427   -120.211
189.437   -120.022
189.447   -119.856
189.456   -119.766
189.466   -119.646
189.476   -119.508
189.486   -119.343
189.495   -119.157
189.505   -119.003
189.515   -118.858
189.524   -118.687
189.534   -118.550
189.544   -118.393
189.554   -118.208
189.563   -118.101
189.573   -117.982
189.583   -117.739
189.593   -117.553
189.602   -117.505
189.612   -117.370
189.622   -116.944
189.631   -116.943
189.641   -116.803
189.651   -116.648
189.661   -116.489
189.670   -116.300
189.680   -116.237
189.690   -115.966
189.699   -115.853
189.709   -115.586
189.719   -115.508
189.729   -115.338
189.738   -115.177
189.748   -114.998
189.758   -114.825
189.768   -114.656
189.777   -114.499
189.787   -114.278
189.797   -114.149
189.806   -113.908
189.816   -113.814
189.826   -113.618
189.836   -113.526
189.845   -113.252
189.855   -113.072
189.865   -112.940
189.875   -112.726
189.884   -112.550
189.894   -112.310
189.904   -112.148
189.913   -112.008
189.923   -111.791
189.933   -111.678
189.943   -111.456
189.952   -111.249
189.962   -111.109
189.972   -110.966
189.981   -110.681
189.991   -110.578
190.001   -110.371
190.011   -110.115
190.020   -109.866
190.030   -109.816
190.040   -109.627
190.050   -109.364
190.059   -109.192
190.069   -109.075
190.079   -108.817
190.088   -108.558
190.098   -108.313
190.108   -108.187
190.118   -107.998
190.127   -107.840
190.137   -107.615
190.147   -107.472
190.156   -107.229
190.166   -107.030
190.176   -106.804
190.186   -106.583
190.195   -106.377
190.205   -106.256
190.215   -106.008
190.225   -105.894
190.234   -105.597
190.244   -105.405
190.254   -105.185
190.263   -105.074
190.273   -104.817
190.283   -104.615
190.293   -104.424
190.302   -104.280
190.312   -104.035
190.322   -103.895
190.332   -103.746
190.341   -103.455
190.351   -103.233
190.361   -103.069
190.370   -102.901
190.380   -102.601
190.390   -102.413
190.400   -102.279
190.409   -102.071
190.419   -101.949
190.429   -101.624
190.438   -101.535
190.448   -101.222
190.458   -101.047
190.468   -100.894
190.477   -100.591
190.487   -100.492
190.497   -100.251
190.507   -100.116
190.516   -99.999
190.526   -99.731
190.536   -99.542
190.545   -99.486
190.555   -99.086
190.565   -98.982
190.575   -98.792
190.584   -98.577
190.594   -98.486
190.604   -98.195
190.614   -98.021
190.623   -97.945
190.633   -97.753
190.643   -97.560
190.652   -97.374
190.662   -97.187
190.672   -97.040
190.682   -96.810
190.691   -96.559
190.701   -96.592
190.711   -96.328
190.720   -96.134
190.730   -95.992
190.740   -95.834
190.750   -95.679
190.759   -95.509
190.769   -95.304
190.779   -95.180
190.789   -95.041
190.798   -94.948
190.808   -94.721
190.818   -94.606
190.827   -94.434
190.837   -94.266
190.847   -94.151
190.857   -93.958
190.866   -93.760
190.876   -93.680
190.886   -93.572
190.895   -93.493
190.905   -93.249
190.915   -93.162
190.925   -93.049
190.934   -92.935
190.944   -92.882
190.954   -92.681
190.964   -92.548
190.973   -92.461
190.983   -92.322
190.993   -92.192
191.002   -92.131
191.012   -92.024
191.022   -91.927
191.032   -91.822
191.041   -91.703
191.051   -91.642
191.061   -91.617
191.071   -91.423
191.080   -91.225
191.090   -91.227
191.100   -91.107
191.109   -90.921
191.119   -90.940
191.129   -90.925
191.139   -90.774
191.148   -90.722
191.158   -90.630
191.168   -90.533
191.177   -90.364
191.187   -90.285
191.197   -90.226
191.207   -90.115
191.216   -90.030
191.226   -90.003
191.236   -89.971
191.246   -89.927
191.255   -89.863
191.265   -89.777
191.275   -89.662
191.284   -89.575
191.294   -89.325
191.304   -89.311
191.314   -89.038
191.323   -89.096
191.333   -88.956
191.343   -88.752
191.352   -88.702
191.362   -88.516
191.372   -88.399
191.382   -88.288
191.391   -88.128
191.401   -87.946
191.411   -87.896
191.421   -87.661
191.430   -87.490
191.440   -87.429
191.450   -87.154
191.459   -87.070
191.469   -86.887
191.479   -86.681
191.489   -86.563
191.498   -86.416
191.508   -86.174
191.518   -86.034
191.528   -85.908
191.537   -85.771
191.547   -85.439
191.557   -85.484
191.566   -85.256
191.576   -84.975
191.586   -84.799
191.596   -84.559
191.605   -84.371
191.615   -84.195
191.625   -83.910
191.634   -83.804
191.644   -83.667
191.654   -83.415
191.664   -83.238
191.673   -83.099
191.683   -82.821
191.693   -82.662
191.703   -82.460
191.712   -82.247
191.722   -82.036
191.732   -81.871
191.741   -81.549
191.751   -81.475
191.761   -81.202
191.771   -81.026
191.780   -80.619
191.790   -80.586
191.800   -80.366
191.809   -80.100
191.819   -79.898
191.829   -79.766
191.839   -79.566
191.848   -79.270
191.858   -79.105
191.868   -78.955
191.878   -78.605
191.887   -78.485
191.897   -78.264
191.907   -78.079
191.916   -77.826
191.926   -77.591
191.936   -77.332
191.946   -77.157
191.955   -76.958
191.965   -76.728
191.975   -76.367
191.985   -76.323
191.994   -76.000
192.004   -75.823
192.014   -75.562
192.023   -75.512
192.033   -75.108
192.043   -74.882
192.053   -74.710
192.062   -74.456
192.072   -74.239
192.082   -74.076
192.091   -73.728
192.101   -73.483
192.111   -73.340
192.121   -73.192
192.130   -72.890
192.140   -72.629
192.150   -72.421
192.160   -72.300
192.169   -71.983
192.179   -71.690
192.189   -71.577
192.198   -71.350
192.208   -70.989
192.218   -70.772
192.228   -70.483
192.237   -70.403
192.247   -70.012
192.257   -69.965
192.266   -69.682
192.276   -69.445
192.286   -69.273
192.296   -68.989
192.305   -68.854
192.315   -68.624
