3/12/2021 4:29:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
188.688   -126.516
188.698   -126.389
188.708   -126.316
188.717   -126.184
188.727   -126.043
188.737   -125.867
188.747   -125.699
188.756   -125.504
188.766   -125.377
188.776   -125.266
188.785   -125.110
188.795   -125.032
188.805   -124.851
188.815   -124.690
188.824   -124.588
188.834   -124.399
188.844   -124.312
188.854   -124.172
188.863   -124.010
188.873   -123.852
188.883   -123.763
188.892   -123.603
188.902   -123.326
188.912   -123.302
188.922   -123.149
188.931   -123.023
188.941   -122.832
188.951   -122.700
188.961   -122.583
188.970   -122.486
188.980   -122.349
188.990   -122.165
188.999   -122.056
189.009   -121.908
189.019   -121.759
189.029   -121.628
189.038   -121.403
189.048   -121.289
189.058   -121.061
189.067   -121.041
189.077   -120.846
189.087   -120.614
189.097   -120.599
189.106   -120.378
189.116   -120.309
189.126   -120.055
189.136   -119.934
189.145   -119.841
189.155   -119.594
189.165   -119.598
189.174   -119.391
189.184   -119.246
189.194   -119.023
189.204   -118.914
189.213   -118.779
189.223   -118.602
189.233   -118.420
189.242   -118.281
189.252   -118.171
189.262   -117.980
189.272   -117.861
189.281   -117.612
189.291   -117.530
189.301   -117.325
189.311   -117.178
189.320   -117.052
189.330   -116.875
189.340   -116.676
189.349   -116.554
189.359   -116.331
189.369   -116.192
189.379   -116.036
189.388   -115.862
189.398   -115.726
189.408   -115.519
189.418   -115.295
189.427   -115.162
189.437   -115.068
189.447   -114.756
189.456   -114.623
189.466   -114.538
189.476   -114.322
189.486   -114.150
189.495   -113.955
189.505   -113.757
189.515   -113.563
189.524   -113.370
189.534   -113.282
189.544   -113.017
189.554   -112.836
189.563   -112.730
189.573   -112.504
189.583   -112.224
189.593   -112.093
189.602   -111.951
189.612   -111.661
189.622   -111.499
189.631   -111.313
189.641   -111.155
189.651   -110.991
189.661   -110.810
189.670   -110.541
189.680   -110.423
189.690   -110.222
189.699   -109.946
189.709   -109.785
189.719   -109.617
189.729   -109.356
189.738   -109.249
189.748   -108.889
189.758   -108.817
189.768   -108.553
189.777   -108.342
189.787   -108.196
189.797   -107.966
189.806   -107.785
189.816   -107.605
189.826   -107.379
189.836   -107.107
189.845   -106.925
189.855   -106.710
189.865   -106.401
189.875   -106.264
189.884   -105.968
189.894   -105.785
189.904   -105.633
189.913   -105.482
189.923   -105.248
189.933   -104.968
189.943   -104.588
189.952   -104.549
189.962   -104.300
189.972   -104.038
189.981   -103.784
189.991   -103.612
190.001   -103.508
190.011   -103.171
190.020   -102.985
190.030   -102.810
190.040   -102.546
190.050   -102.356
190.059   -102.063
190.069   -101.776
190.079   -101.648
190.088   -101.417
190.098   -101.164
190.108   -100.839
190.118   -100.611
190.127   -100.505
190.137   -100.230
190.147   -100.082
190.156   -99.818
190.166   -99.533
190.176   -99.283
190.186   -99.067
190.195   -98.884
190.205   -98.541
190.215   -98.364
190.225   -98.044
190.234   -97.872
190.244   -97.685
190.254   -97.406
190.263   -97.152
190.273   -96.964
190.283   -96.699
190.293   -96.381
190.302   -96.236
190.312   -96.031
190.322   -95.742
190.332   -95.446
190.341   -95.349
190.351   -95.128
190.361   -94.797
190.370   -94.554
190.380   -94.360
190.390   -94.137
190.400   -93.884
190.409   -93.732
190.419   -93.406
190.429   -93.272
190.438   -92.983
190.448   -92.692
190.458   -92.450
190.468   -92.215
190.477   -92.032
190.487   -91.767
190.497   -91.541
190.507   -91.309
190.516   -91.030
190.526   -90.913
190.536   -90.700
190.545   -90.465
190.555   -90.074
190.565   -89.962
190.575   -89.865
190.584   -89.734
190.594   -89.564
190.604   -89.251
190.614   -89.078
190.623   -88.828
190.633   -88.542
190.643   -88.378
190.652   -88.050
190.662   -87.742
190.672   -87.660
190.682   -87.573
190.691   -87.371
190.701   -86.851
190.711   -86.816
190.720   -86.579
190.730   -86.328
190.740   -86.088
190.750   -85.855
190.759   -85.712
190.769   -85.529
190.779   -85.245
190.789   -85.115
190.798   -84.965
190.808   -84.688
190.818   -84.566
190.827   -84.151
190.837   -84.157
190.847   -83.867
190.857   -83.713
190.866   -83.479
190.876   -83.335
190.886   -83.026
190.895   -82.908
190.905   -82.706
190.915   -82.643
190.925   -82.478
190.934   -82.260
190.944   -82.007
190.954   -81.884
190.964   -81.592
190.973   -81.474
190.983   -81.322
190.993   -81.026
191.002   -80.935
191.012   -80.748
191.022   -80.592
191.032   -80.449
191.041   -80.304
191.051   -79.989
191.061   -80.028
191.071   -79.815
191.080   -79.613
191.090   -79.366
191.100   -79.247
191.109   -79.183
191.119   -79.010
191.129   -78.793
191.139   -78.827
191.148   -78.622
191.158   -78.446
191.168   -78.254
191.177   -78.132
191.187   -78.039
191.197   -77.933
191.207   -77.907
191.216   -77.677
191.226   -77.551
191.236   -77.446
191.246   -77.329
191.255   -77.284
191.265   -77.194
191.275   -77.019
191.284   -76.970
191.294   -76.747
191.304   -76.697
191.314   -76.583
191.323   -76.434
191.333   -76.482
191.343   -76.263
191.352   -76.194
191.362   -76.127
191.372   -75.993
191.382   -75.994
191.391   -75.831
191.401   -75.834
191.411   -75.752
191.421   -75.538
191.430   -75.514
191.440   -75.361
191.450   -75.340
191.459   -75.251
191.469   -74.986
191.479   -75.002
191.489   -74.933
191.498   -74.715
191.508   -74.723
191.518   -74.602
191.528   -74.412
191.537   -74.339
191.547   -74.208
191.557   -74.030
191.566   -73.976
191.576   -73.874
191.586   -73.775
191.596   -73.526
191.605   -73.451
191.615   -73.278
191.625   -73.105
191.634   -72.969
191.644   -72.810
191.654   -72.747
191.664   -72.562
191.673   -72.370
191.683   -72.142
