3/9/2021 6:36:10 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
189.147   78.660
189.157   78.543
189.166   78.532
189.176   78.396
189.186   78.430
189.195   78.438
189.205   78.430
189.215   78.512
189.225   78.455
189.234   78.581
189.244   78.538
189.254   78.676
189.263   78.647
189.273   78.775
189.283   78.827
189.293   78.950
189.302   79.017
189.312   79.266
189.322   79.318
189.332   79.477
189.341   79.605
189.351   79.888
189.361   80.010
189.370   80.211
189.380   80.369
189.390   80.666
189.400   80.782
189.409   81.063
189.419   81.275
189.429   81.468
189.438   81.849
189.448   81.969
189.458   82.344
189.468   82.570
189.477   82.821
189.487   83.072
189.497   83.519
189.507   83.776
189.516   84.014
189.526   84.409
189.536   84.699
189.545   85.047
189.555   85.403
189.565   85.684
189.575   86.116
189.584   86.456
189.594   86.853
189.604   87.143
189.614   87.602
189.623   87.870
189.633   88.319
189.643   88.723
189.652   89.102
189.662   89.547
189.672   89.963
189.682   90.168
189.691   90.527
189.701   91.089
189.711   91.387
189.720   91.841
189.730   92.246
189.740   92.641
189.750   93.192
189.759   93.645
189.769   93.968
189.779   94.410
189.789   94.925
189.798   95.307
189.808   95.722
189.818   96.101
189.827   96.627
189.837   97.065
189.847   97.588
189.857   98.020
189.866   98.486
189.876   98.925
189.886   99.318
189.895   99.782
189.905   100.258
189.915   100.704
189.925   101.130
189.934   101.672
189.944   102.081
189.954   102.531
189.964   102.935
189.973   103.440
189.983   103.818
189.993   104.277
190.002   104.784
190.012   105.249
190.022   105.659
190.032   106.202
190.041   106.599
190.051   107.005
190.061   107.447
190.071   107.844
190.080   108.233
190.090   108.632
190.100   109.148
190.109   109.540
190.119   110.009
190.129   110.367
190.139   110.889
190.148   111.281
190.158   111.696
190.168   112.150
190.177   112.562
190.187   112.955
190.197   113.323
190.207   113.726
190.216   114.144
190.226   114.597
190.236   114.896
190.246   115.280
190.255   115.724
190.265   116.091
190.275   116.443
190.284   116.866
190.294   117.255
190.304   117.554
190.314   117.879
190.323   118.334
190.333   118.745
190.343   119.080
190.352   119.435
190.362   119.645
190.372   120.076
190.382   120.544
190.391   120.784
190.401   121.113
190.411   121.587
190.421   121.771
190.430   122.269
190.440   122.544
190.450   122.844
190.459   123.113
190.469   123.407
190.479   123.846
190.489   124.125
190.498   124.475
190.508   124.744
190.518   125.037
190.528   125.349
190.537   125.528
190.547   125.955
190.557   126.248
190.566   126.520
190.576   126.804
190.586   127.045
190.596   127.354
190.605   127.636
190.615   127.917
190.625   128.185
190.634   128.433
190.644   128.740
190.654   128.806
190.664   129.297
190.673   129.689
190.683   129.687
190.693   129.894
190.703   130.491
190.712   130.405
190.722   130.688
190.732   130.956
190.741   131.277
190.751   131.468
190.761   131.839
190.771   131.972
190.780   132.237
190.790   132.374
190.800   132.569
190.810   132.801
190.819   133.100
190.829   133.271
190.839   133.560
190.848   133.646
190.858   134.025
190.868   134.179
190.878   134.312
190.887   134.441
190.897   134.744
190.907   134.879
190.916   135.051
190.926   135.366
190.936   135.510
190.946   135.641
190.955   135.798
190.965   135.998
190.975   136.256
190.985   136.439
190.994   136.659
191.004   136.744
191.014   136.947
191.023   137.119
191.033   137.397
191.043   137.463
191.053   137.663
191.062   137.804
191.072   137.956
191.082   138.134
191.091   138.195
191.101   138.401
191.111   138.543
191.121   138.654
191.130   138.878
191.140   139.081
191.150   139.347
191.160   139.316
191.169   139.574
191.179   139.565
191.189   139.897
191.198   140.061
191.208   140.181
191.218   140.264
191.228   140.393
191.237   140.479
191.247   140.613
191.257   140.845
191.267   141.036
191.276   141.073
191.286   141.167
191.296   141.391
191.305   141.289
191.315   141.342
191.325   141.605
191.335   141.924
191.344   141.822
191.354   141.968
191.364   142.011
191.373   142.383
191.383   142.418
191.393   142.663
191.403   142.685
191.412   142.850
191.422   142.869
191.432   142.952
191.442   143.042
191.451   143.242
191.461   143.374
191.471   143.603
191.480   143.578
191.490   143.692
191.500   143.775
191.510   144.031
191.519   143.966
191.529   144.102
191.539   144.100
191.548   144.502
191.558   144.383
191.568   144.547
191.578   144.584
191.587   144.745
191.597   144.922
191.607   144.862
191.617   144.920
191.626   145.085
191.636   145.218
191.646   145.207
191.655   145.412
191.665   145.512
191.675   145.547
191.685   145.745
191.694   145.664
191.704   145.734
191.714   145.851
191.724   146.043
191.733   146.119
191.743   146.359
191.753   146.212
191.762   146.435
191.772   146.410
191.782   146.521
191.792   146.564
191.801   146.579
191.811   146.786
191.821   146.945
191.830   146.759
191.840   147.113
191.850   147.072
191.860   147.211
191.869   147.308
191.879   147.225
191.889   147.323
191.899   147.362
191.908   147.447
191.918   147.654
191.928   147.778
191.937   147.617
191.947   147.922
191.957   147.818
191.967   147.901
191.976   148.014
191.986   148.094
191.996   148.220
192.005   148.466
192.015   148.352
192.025   148.501
192.035   148.607
192.044   148.678
192.054   148.697
192.064   148.737
192.074   148.815
192.083   148.960
192.093   148.928
192.103   148.994
192.112   149.111
192.122   149.087
192.132   149.297
192.142   149.155
192.151   149.255
192.161   149.380
192.171   149.498
192.181   149.449
192.190   149.760
192.200   149.764
192.210   149.877
192.219   149.716
192.229   149.966
192.239   149.883
192.249   149.980
192.258   149.975
192.268   150.079
192.278   150.077
192.287   149.991
192.297   150.430
192.307   150.313
192.317   150.376
192.326   150.350
192.336   150.408
192.346   150.581
192.356   150.629
192.365   150.615
192.375   150.827
192.385   150.822
192.394   150.866
192.404   151.035
192.414   150.766
192.424   151.163
192.433   151.079
192.443   151.042
192.453   151.328
192.462   151.084
192.472   151.255
192.482   151.538
192.492   151.406
192.501   151.633
192.511   151.464
192.521   151.693
192.531   151.639
192.540   151.760
192.550   151.853
192.560   151.670
192.569   151.867
192.579   152.028
192.589   151.957
192.599   152.305
192.608   152.143
192.618   152.227
192.628   152.090
192.638   152.379
192.647   152.476
192.657   152.590
192.667   152.363
192.676   152.420
192.686   152.389
192.696   152.714
192.706   152.741
192.715   152.734
192.725   152.814
192.735   152.731
192.744   152.785
192.754   152.858
192.764   153.052
192.774   153.040
192.783   153.240
192.793   153.092
192.803   153.059
192.813   153.166
192.822   152.996
192.832   153.502
192.842   153.382
192.851   153.142
192.861   153.439
