#Tempo(s)	Intensità (Un. Arb.)

83.78127500000001	2.539062
83.78127500000001	2.587891
83.79690000000001	2.600098
83.79690000000001	2.648926
83.81252500000001	2.661133
83.82815000000001	2.697754
83.84377500000001	2.709961
83.84377500000001	2.746582
83.85940000000001	2.758789
83.85940000000001	2.819824
83.87502500000001	2.819824
83.87502500000001	2.868652
83.90627500000001	2.868652
83.90627500000001	2.91748
83.92190000000001	2.929687
83.92190000000001	2.966309
83.93752500000001	2.978516
83.93752500000001	3.027344
83.95315000000001	3.051758
83.96877500000001	3.088379
83.98440000000001	3.100586
83.98440000000001	3.149414
84.00002500000001	3.137207
84.00002500000001	3.186035
84.01565000000001	3.186035
84.03127500000001	3.234863
84.04690000000001	3.234863
84.04690000000001	3.271484
84.06252500000001	3.295898
84.06252500000001	3.33252
84.07815000000001	3.344727
84.07815000000001	3.369141
84.09377500000001	3.381348
84.10940000000001	3.417969
84.12502500000001	3.417969
84.12502500000001	3.45459
84.14065000000001	3.442383
84.14065000000001	3.479004
84.15627500000001	3.479004
84.15627500000001	3.515625
84.17190000000001	3.527832
84.18752500000001	3.552246
84.20315000000001	3.57666
84.20315000000001	3.601074
84.21877500000001	3.613281
84.21877500000001	3.637695
84.23440000000001	3.637695
84.25002500000001	3.662109
84.26565000000001	3.662109
84.26565000000001	3.686523
84.28127500000001	3.69873
84.28127500000001	3.723145
84.29690000000001	3.735352
84.29690000000001	3.747559
84.31252500000001	3.747559
84.32815000000001	3.771973
84.34377500000001	3.771973
84.34377500000001	3.796387
84.35940000000001	3.796387
84.35940000000001	3.808594
84.37502500000001	3.820801
84.39065000000001	3.820801
84.40627500000001	3.820801
84.40627500000001	3.833008
84.42190000000001	3.820801
84.42190000000001	3.833008
84.43752500000001	3.833008
84.43752500000001	3.845215
84.45315000000001	3.845215
84.46877500000001	3.857422
84.48440000000001	3.857422
84.48440000000001	3.845215
84.50002500000001	3.845215
84.50002500000001	3.845215
84.51565000000001	3.833008
84.51565000000001	3.833008
84.54690000000001	3.833008
84.54690000000001	3.833008
84.56252500000001	3.820801
84.56252500000001	3.820801
84.57815000000001	3.808594
84.57815000000001	3.820801
84.59377500000001	3.808594
84.60940000000001	3.808594
84.62502500000001	3.796387
84.62502500000001	3.796387
84.64065000000001	3.796387
84.64065000000001	3.78418
84.65627500000001	3.771973
84.65627500000001	3.759766
84.67190000000001	3.747559
84.68752500000001	3.747559
84.70315000000001	3.723145
84.70315000000001	3.723145
84.71877500000001	3.710937
84.71877500000001	3.69873
84.73440000000001	3.686523
84.75002500000001	3.674316
84.76565000000001	3.662109
84.76565000000001	3.637695
84.78127500000001	3.625488
84.78127500000001	3.613281
84.79690000000001	3.588867
84.79690000000001	3.57666
84.81252500000001	3.552246
84.82815000000001	3.540039
84.84377500000001	3.515625
84.84377500000001	3.503418
84.85940000000001	3.479004
84.85940000000001	3.466797
84.87502500000001	3.430176
84.89065000000001	3.430176
84.90627500000001	3.393555
84.90627500000001	3.381348
84.92190000000001	3.33252
84.92190000000001	3.33252
84.93752500000001	3.308105
84.93752500000001	3.295898
84.95315000000001	3.24707
84.96877500000001	3.24707
84.98440000000001	3.198242
84.98440000000001	3.198242
85.00002500000001	3.149414
85.00002500000001	3.149414
85.01565000000001	3.112793
85.03127500000001	3.100586
85.03127500000001	3.063965
85.04690000000001	3.063965
85.06252500000001	3.027344
85.06252500000001	3.015137
85.07815000000001	2.966309
85.07815000000001	2.966309
85.09377500000001	2.905273
85.10940000000001	2.91748
85.12502500000001	2.868652
85.12502500000001	2.856445
85.14065000000001	2.807617
85.14065000000001	2.807617
85.15627500000001	2.758789
85.15627500000001	2.770996
85.18752500000001	2.709961
85.18752500000001	2.709961
85.20315000000001	2.661133
85.20315000000001	2.661133
85.21877500000001	2.612305
85.21877500000001	2.612305
85.23440000000001	2.55127
85.25002500000001	2.563477
85.26565000000001	2.514648
85.26565000000001	2.514648
85.28127500000001	2.46582
85.28127500000001	2.453613
85.29690000000001	2.404785
85.29690000000001	2.404785
85.31252500000001	2.355957
85.32815000000001	2.368164
85.34377500000001	2.307129
85.34377500000001	2.319336
85.35940000000001	2.270508
85.35940000000001	2.258301
85.37502500000001	2.22168
85.39065000000001	2.209473
85.40627500000001	2.160645
85.40627500000001	2.172852
85.42190000000001	2.124023
85.42190000000001	2.124023
85.43752500000001	2.075195
85.43752500000001	2.075195
85.45315000000001	2.038574
85.46877500000001	2.026367
85.48440000000001	1.989746
85.48440000000001	1.977539
85.50002500000001	1.928711
85.50002500000001	1.940918
85.51565000000001	1.89209
85.53127500000001	1.89209
85.53127500000001	1.855469
85.54690000000001	1.855469
85.56252500000001	1.818848
85.56252500000001	1.806641
85.57815000000001	1.77002
85.57815000000001	1.77002
85.59377500000001	1.733398
85.60940000000001	1.733398
85.62502500000001	1.696777
85.62502500000001	1.696777
85.64065000000001	1.672363
85.64065000000001	1.660156
85.65627500000001	1.635742
85.65627500000001	1.611328
85.68752500000001	1.586914
85.68752500000001	1.574707
85.70315000000001	1.550293
85.70315000000001	1.550293
85.71877500000001	1.525879
85.71877500000001	1.513672
85.73440000000001	1.489258
85.75002500000001	1.477051
85.76565000000001	1.464844
85.76565000000001	1.452637
85.78127500000001	1.428223
85.78127500000001	1.428223
85.79690000000001	1.403809
85.79690000000001	1.391602
85.81252500000001	1.379395
85.82815000000001	1.379395
85.84377500000001	1.367187
85.84377500000001	1.342773
85.85940000000001	1.330566
85.85940000000001	1.318359
85.87502500000001	1.306152
85.87502500000001	1.293945
85.90627500000001	1.281738
85.90627500000001	1.281738
85.92190000000001	1.269531
85.92190000000001	1.257324
85.93752500000001	1.245117
85.93752500000001	1.245117
85.95315000000001	1.23291
85.96877500000001	1.220703
85.98440000000001	1.208496
85.98440000000001	1.208496
86.00002500000001	1.196289
86.00002500000001	1.196289
86.01565000000001	1.196289
86.01565000000001	1.196289
86.04690000000001	1.184082
86.04690000000001	1.171875
86.06252500000001	1.159668
86.06252500000001	1.159668
